,name,salary_from,salary_to,salary_currency,area_name,published_at
214,Junior Digital Manager (IVK Media),,65000.0,RUR,Москва,2022-12-23T11:22:10+0300
215,Менеджер по продукту (светотехническая продукция),,,,Москва,2022-12-23T11:31:45+0300
216,Инженер по сопровождению SAP,,,,Новосибирск,2022-12-23T10:08:54+0300
217,Оператор станков с ЧПУ,45000.0,60000.0,RUR,Новочебоксарск,2022-12-23T10:32:55+0300
218,"Product Owner customer care (КЦ, чат-боты, обратная связь)",,,,Москва,2022-12-23T10:17:29+0300
219,Оператор станков с ЧПУ,,,,Сафоново,2022-12-23T09:17:19+0300
220,Product manager,150000.0,170000.0,RUR,Санкт-Петербург,2022-12-23T11:18:44+0300
221,"ИТ-инженер по сопровождению в дивизион ""Цифровой корпоративный Банк""",,,,Хабаровск,2022-12-23T09:41:07+0300
222,Системный администратор,,130000.0,RUR,Москва,2022-12-23T11:32:34+0300
223,Product Owner,100000.0,100000.0,RUR,Москва,2022-12-23T10:34:43+0300
224,Специалист по сопровождению информационных систем,,,,Хабаровск,2022-12-23T09:47:20+0300
225,Бизнес-аналитик,,,,Санкт-Петербург,2022-12-23T09:08:05+0300
226,Специалист 2 категории отдел поддержки пользователей дирекции информационных технологий,40000.0,40000.0,RUR,Тула,2022-12-23T09:02:27+0300
227,Ведущий специалист поддержки пользователей,,,,Мирный (Республика Саха (Якутия)),2022-12-23T10:39:37+0300
228,Аналитик продукта FBA,,,,Москва,2022-12-23T11:21:00+0300
229,Специалист по видеонаблюдению,50000.0,,RUR,Нестеров,2022-12-23T11:02:49+0300
230,Инженер по сопровождению информационных систем (техническая поддержка портала),,,,Краснодар,2022-12-23T09:10:57+0300
231,Инженер-программист,100000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
232,Помощник программиста,25000.0,40000.0,RUR,Верхняя Пышма,2022-12-23T11:11:49+0300
233,Дежурный инженер,,62000.0,RUR,Зеленоград,2022-12-23T11:22:06+0300
234,Оператор станка с ЧПУ (токарно-фрезерная группа),60000.0,135000.0,RUR,Санкт-Петербург,2022-12-23T09:10:38+0300
235,Специалист по поддержке информационных систем,,,,Чита,2022-12-23T10:07:44+0300
236,Ведущий бизнес-аналитик,,,,Румянцево,2022-12-23T11:03:56+0300
237,Инженер по сопровождению информационных систем (техническая поддержка портала),,,,Пенза,2022-12-23T09:11:04+0300
238,Инженер по сопровождению,,,,Москва,2022-12-23T10:09:33+0300
239,Оператор станка с ЧПУ,,,,Москва,2022-12-23T10:29:37+0300
240,Junior разработчик (поисковая выдача),,65000.0,RUR,Москва,2022-12-23T09:50:51+0300
241,Менеджер по обработке заказов (без продаж),30000.0,,RUR,Рязань,2022-12-23T10:59:26+0300
242,Начинающий специалист по обслуживанию банкоматов,28000.0,50000.0,RUR,Оренбург,2022-12-23T10:52:13+0300
243,Менеджер проектов,15000.0,40000.0,RUR,Тольятти,2022-12-23T10:45:23+0300
244,Специалист по информационным технологиям,,,,Нижний Новгород,2022-12-23T10:20:46+0300
245,Консультант / аналитик 1С (в аккредитованную компанию),80000.0,,RUR,Саратов,2022-12-23T07:40:59+0300
246,Главный специалист отдела информационных технологий,45000.0,45000.0,RUR,Омск,2022-12-23T07:53:51+0300
247,Оператор ЧПУ на лазерный станок,45000.0,55000.0,RUR,Новочебоксарск,2022-12-23T09:53:18+0300
248,Механик на производство,50000.0,60000.0,RUR,Обь,2022-12-23T07:57:53+0300
249,Web-программист,,,,Казань,2022-12-23T08:55:52+0300
250,Оператор плазменной резки на производство металлоконструкций,70000.0,,RUR,Санкт-Петербург,2022-12-23T09:21:28+0300
251,Линейный механик,,,,Новосибирск,2022-12-23T11:35:38+0300
252,Полировщик,,,,Калуга,2022-12-23T11:02:44+0300
253,Программист 1С,160000.0,,RUR,Санкт-Петербург,2022-12-23T09:36:33+0300
254,Системный аналитик в мобильное приложение,,,,Москва,2022-12-23T09:10:52+0300
255,Технический лидер Стрима,,,,Москва,2022-12-23T09:45:34+0300
256,DevOps-инженер,,,,Санкт-Петербург,2022-12-23T10:31:28+0300
257,Дежурный инженер,,62000.0,RUR,Москва,2022-12-23T11:22:06+0300
258,Специалист по IT,,,,Москва,2022-12-23T09:26:57+0300
259,Сервисный инженер,80000.0,100000.0,RUR,Домодедово,2022-12-23T10:33:15+0300
260,Системный администратор,36000.0,43000.0,RUR,Барнаул,2022-12-23T09:55:46+0300
261,Бизнес-аналитик в проектный офис,,,,Новосибирск,2022-12-23T08:04:55+0300
262,Наждачник,,,,Мытищи,2022-12-23T10:18:26+0300
263,Junior PHP developer (fullstack),40000.0,,RUR,Омск,2022-12-23T11:53:49+0300
264,Главный специалист отдела системного администрирования,56000.0,,RUR,Казань,2022-12-23T11:49:41+0300
265,"Главный специалист по поддержке пользователей (1,5 линия)",,,,Москва,2022-12-23T09:47:39+0300
266,Инженер-электронщик/PLC-инженер/Мехатроник,,,,Москва,2022-12-23T09:09:19+0300
267,SQL-разработчик middle/senior,,,,Пермь,2022-12-23T08:42:59+0300
268,Специалист по видеонаблюдению,50000.0,,RUR,Гусев,2022-12-23T11:02:49+0300
269,Разработчик хранилищ данных / BI,,,,Москва,2022-12-23T10:51:14+0300
270,Ведущий инженер-программист,,,,Великие Луки,2022-12-23T09:32:25+0300
271,Разработчик Oracle,,,,Москва,2022-12-23T11:37:36+0300
272,Наладчик полиграфического оборудования,65000.0,,RUR,Санкт-Петербург,2022-12-23T10:38:12+0300
273,"Менеджер по проектированию, г.Дзержинск (Нижегородская обл.)",,,,Нижний Новгород,2022-12-23T09:55:39+0300
274,Системный администратор,40000.0,,RUR,Краснодар,2022-12-23T11:47:26+0300
275,Регулировщик РЭА и приборов,,,,Екатеринбург,2022-12-23T08:14:07+0300
276,Инженер по тестированию (backend),,,,Рязань,2022-12-23T10:11:53+0300
277,"Тестировщик (web, автоматизация)",,,,Новосибирск,2022-12-23T06:08:53+0300
278,Аналитик Управления информационных технологий,40000.0,,RUR,Красногорск,2022-12-23T10:47:32+0300
279,Аналитик 1С ERP,,,,Шахты,2022-12-23T10:31:23+0300
280,Бизнес-аналитик,,,,Москва,2022-12-23T11:28:19+0300
281,Category Manager / Senior Category Manager,,,,Москва,2022-12-23T10:53:28+0300
282,Специалист по производственному контролю 1 категории (инженер-механик),58000.0,,RUR,Ангарск,2022-12-23T06:50:47+0300
283,Дизайнер группы текстиль,,,,Москва,2022-12-23T11:07:29+0300
284,Токарь-универсал,45000.0,,RUR,Улан-Удэ,2022-12-23T09:58:45+0300
285,Директор по информационным технологиям,,,,Новосибирск,2022-12-23T09:28:28+0300
286,Наждачник,,,,Москва,2022-12-23T10:18:26+0300
287,Консультант 1С ЗУП,,,,Санкт-Петербург,2022-12-23T09:08:12+0300
288,Менеджер по информационной безопасности,,,,Москва,2022-12-23T10:30:55+0300
289,Оператор контактного центра,38000.0,53000.0,RUR,Санкт-Петербург,2022-12-23T10:23:43+0300
290,Техник,50000.0,,RUR,Ростов-на-Дону,2022-12-23T11:30:41+0300
291,SRE Engineer/DevOps (Remote),,250000.0,RUR,Москва,2022-12-23T10:23:59+0300
292,Сервисный инженер,60000.0,,RUR,Санкт-Петербург,2022-12-23T11:33:28+0300
293,Ведущий специалист отдела системного администрирования,,,,Ставрополь,2022-12-23T10:55:23+0300
294,"Главный специалист службы эксплуатации ПО, г.Бийск",47000.0,,RUR,Бийск,2022-12-23T08:12:00+0300
295,Программист SQL,,,,Краснодар,2022-12-23T08:31:29+0300
296,Управляющий СТО,80000.0,100000.0,RUR,Владимир,2022-12-23T10:44:56+0300
297,Слесарь-сборщик авиационных приборов,,65000.0,RUR,Москва,2022-12-23T11:50:13+0300
298,Сервисный менеджер,,,,Самара,2022-12-23T09:38:50+0300
299,Специалист по сервисному обслуживанию банковского оборудования,50000.0,,RUR,Хабаровск,2022-12-23T08:06:33+0300
300,Аналитик данных,50000.0,,RUR,Киров (Кировская область),2022-12-23T11:34:49+0300
301,Оператор станков с ЧПУ (лазерная резка),70000.0,,RUR,Ростов-на-Дону,2022-12-23T09:28:29+0300
302,Старший механик,150000.0,,RUR,Чита,2022-12-23T07:52:14+0300
303,Аналитик,45000.0,,RUR,Новосибирск,2022-12-23T10:11:21+0300
304,Программист С++,,,,Санкт-Петербург,2022-12-23T11:33:19+0300
305,Мастер по обслуживанию абонентов,50000.0,53000.0,RUR,Новокузнецк,2022-12-23T11:20:15+0300
